,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
971,2014020511449,2014-02-05 00:00:00,2013-09-13 14:00:00,CPR,Natrona International,-,Motor Vehicle,Motor Vehicle,-,615.09,Approve in Full
972,2014020511450,2014-02-03 00:00:00,2014-01-27 18:00:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
973,2014020511451,2014-02-05 00:00:00,2013-08-25 00:00:00,MIA,Miami International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,50.0,Settle
974,2014020511452,2014-01-28 00:00:00,2014-01-09 00:00:00,ORD,Chicago O'Hare International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Cameras,0.0,Deny
975,2014020511453,2014-01-31 00:00:00,2014-01-02 13:25:00,F,Foreign airport,Finnair,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0.0,-
976,2014020511454,2014-02-03 00:00:00,2014-01-14 11:20:00,ORD,Chicago O'Hare International Airport,-,Property Damage,Checkpoint,Personal Electronics,200.0,Approve in Full
977,2014020511455,2014-01-31 00:00:00,2013-07-10 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Sun Country Airlines Inc  ,Property Damage,Checkpoint,Computer & Accessories,371.15,Settle
978,2014020511456,2014-02-03 00:00:00,2014-01-28 17:15:00,BOS,Boston (Logan) International Airport ,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,276.35,Settle
979,2014020511457,2014-02-03 00:00:00,2013-11-20 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,0.0,-
980,2014020511458,2014-01-28 00:00:00,2013-12-12 00:00:00,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
981,2014020511459,2014-02-02 00:00:00,2013-12-21 13:45:00,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
982,2014020511460,2014-02-03 00:00:00,2014-01-31 17:20:00,RDU,Raleigh-Durham International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,Deny
983,2014020511461,2014-02-03 00:00:00,2013-10-26 16:50:00,RSW,Southwest Florida International,AirTran Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,69.99,Approve in Full
984,2014020511462,2014-01-28 00:00:00,2014-01-15 00:00:00,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0.0,Deny
985,2014020511463,2014-02-05 00:00:00,2014-01-08 16:00:00,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,0.0,-
986,2014020511464,2014-01-31 00:00:00,2014-01-14 00:00:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Travel Accessories,48.0,Approve in Full
987,2014020511465,2014-02-03 00:00:00,2014-01-06 00:00:00,LAX,Los Angeles International Airport ,British Airways  ,Property Damage,Checked Baggage,Food & Drink,0.0,Deny
988,2014020511467,2014-02-03 00:00:00,2014-01-26 00:00:00,MCO,Orlando International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,40.24,Approve in Full
989,2014020511468,2014-01-28 00:00:00,2014-01-07 00:00:00,HNL,Honolulu International Airport,Hawaiian Airlines  ,Property Damage,Checked Baggage,Other,1.89,Approve in Full
990,2014020511469,2014-02-02 00:00:00,2014-01-25 11:45:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,0.0,-
991,2014020511470,2014-02-03 00:00:00,2014-01-31 05:45:00,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
992,2014020511471,2014-01-28 00:00:00,2013-12-16 12:30:00,SNA,John Wayne,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,6.76,Approve in Full
993,2014020511472,2014-02-03 00:00:00,2014-01-31 09:00:00,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Audio/Video,0.0,-
994,2014020511473,2014-02-01 00:00:00,2013-12-23 00:00:00,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,-,20.0,Approve in Full
995,2014020511474,2014-01-28 00:00:00,2013-12-29 14:00:00,MKE,General Mitchell International Airport,AirTran Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,62.54,Approve in Full
996,2014020511475,2014-02-03 00:00:00,2013-06-23 00:00:00,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
997,2014020511476,2014-01-31 00:00:00,2014-01-18 00:00:00,OAK,Metropolitan Oakland International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,6.83,Approve in Full
998,2014020511477,2014-01-31 00:00:00,2013-12-18 16:50:00,RNO,Reno/Tahoe International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,110.55,Approve in Full
999,2014020511478,2014-02-04 00:00:00,2014-02-02 12:20:00,SFB,Orlando Sanford,Allegiant Air,Property Damage,Checked Baggage,Food & Drink,0.0,-
1000,2014020511479,2014-01-28 00:00:00,2014-01-21 07:00:00,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checked Baggage,-,0.0,-
1001,2014020511480,2014-02-03 00:00:00,2013-12-31 06:00:00,MSY,New Orleans International,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,-
1002,2014020511481,2014-01-31 00:00:00,2014-01-23 07:05:00,BOS,Boston (Logan) International Airport ,Virgin America,Passenger Property Loss,Checked Baggage,Cameras,0.0,Deny
1003,2014020511482,2014-02-01 00:00:00,2014-01-24 07:00:00,STL,Lambert St. Louis International,-,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0.0,-
1004,2014020511483,2014-02-01 00:00:00,2014-01-10 15:30:00,SMF,Sacramento International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Personal Accessories,170.05,Settle
1005,2014020511484,2014-01-31 00:00:00,2014-01-02 09:40:00,GUM,Guam,UAL  ,Property Damage,-,-,0.0,-
1006,2014020511485,2014-01-31 00:00:00,2014-01-22 00:00:00,MIA,Miami International Airport,American Eagle  ,Passenger Property Loss,Checked Baggage,Food & Drink,7.95,Approve in Full
1007,2014020511486,2014-02-03 00:00:00,2014-02-01 09:00:00,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,275.0,Approve in Full
1008,2014020511487,2014-02-01 00:00:00,2014-01-31 11:45:00,PHX,Phoenix Sky Harbor International,UAL  ,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,0.0,Deny
1009,2014020511488,2014-01-31 00:00:00,2013-12-26 00:00:00,LGA,LaGuardia ,-,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
1010,2014020511489,2014-02-01 00:00:00,2014-01-31 00:00:00,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,633.02,Approve in Full
1011,2014020511490,2014-01-31 00:00:00,2014-01-02 00:00:00,SMF,Sacramento International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,361.26,Settle
1012,2014020511491,2014-01-31 00:00:00,2014-01-28 11:52:00,MCO,Orlando International Airport,-,Passenger Property Loss,Checkpoint,Personal Electronics,179.27,Settle
1013,2014020511492,2014-01-30 00:00:00,2014-01-08 00:00:00,MDT,Harrisburg International,USAir  ,Property Damage,Checkpoint,Baggage/Cases/Purses,79.99,Approve in Full
1014,2014020511493,2014-02-05 00:00:00,2014-01-26 06:00:00,ISP,"Long Island McArthur, Islip",Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Accessories,0.0,-
1015,2014020511494,2014-01-30 00:00:00,2013-12-25 00:00:00,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
1016,2014020511495,2014-02-04 00:00:00,2014-01-26 18:00:00,DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,30.36,Approve in Full
1017,2014020611496,2014-02-04 00:00:00,2014-01-08 21:35:00,PHX,Phoenix Sky Harbor International,Westjet Airlines Ltd  ,Property Damage,Checked Baggage,Computer & Accessories,0.0,Deny
1018,2014020611497,2014-02-04 00:00:00,2014-02-01 00:00:00,DEN,Denver International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,0.0,Deny
1019,2014020611498,2014-02-03 00:00:00,2014-01-30 15:00:00,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,0.0,Deny
1020,2014020611499,2014-02-06 00:00:00,2014-01-13 21:00:00,LAX,Los Angeles International Airport ,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses,100.0,Approve in Full
1021,2014020611500,2014-02-04 00:00:00,2014-01-26 11:30:00,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checkpoint,Personal Electronics,274.99,Approve in Full
1022,2014020611501,2014-01-30 00:00:00,2014-01-19 00:00:00,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checked Baggage,Audio/Video,80.0,Settle
1023,2014020611502,2014-02-04 00:00:00,2014-01-27 17:00:00,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
1024,2014020611503,2014-02-04 00:00:00,2014-01-23 00:00:00,SLC,Salt Lake City International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
1025,2014020611504,2014-02-03 00:00:00,2014-02-01 22:00:00,JFK,John F. Kennedy International,Qatar airlines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,0.0,Deny
1026,2014020611505,2014-01-30 00:00:00,2013-11-05 00:00:00,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,Household Items,0.0,Deny
1027,2014020611506,2014-02-03 00:00:00,2014-01-29 00:00:00,PHL,Philadelphia International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
1028,2014020611507,2014-02-04 00:00:00,2014-01-15 14:45:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.0,Deny
1029,2014020611508,2014-02-03 00:00:00,2013-03-02 00:00:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
1030,2014020611509,2014-02-04 00:00:00,2014-01-31 12:30:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,Deny
1031,2014020611511,2014-02-04 00:00:00,2014-01-14 17:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other; Other,162.0,Settle
1032,2014020611512,2014-02-02 00:00:00,2013-10-12 00:00:00,HVN,"New Haven, CT",USAir  ,Passenger Property Loss,Other,Jewelry & Watches,0.0,-
1033,2014020611513,2014-02-04 00:00:00,2014-01-13 16:45:00,BOS,Boston (Logan) International Airport ,Jet Blue,Property Damage,Checkpoint,Personal Electronics,269.0,Approve in Full
1034,2014020611514,2014-02-04 00:00:00,2014-01-30 07:10:00,SNA,John Wayne,UAL  ,Property Damage,Checkpoint,Computer & Accessories,349.85,Settle
1035,2014020611515,2014-02-06 00:00:00,2013-12-18 18:30:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,0.0,-
1036,2014020611516,2014-01-31 00:00:00,2014-01-09 19:30:00,PHX,Phoenix Sky Harbor International,British Airways  ,Passenger Property Loss,Checkpoint,Computer & Accessories,0.0,-
1037,2014020611517,2014-01-31 00:00:00,2013-11-24 00:00:00,DEN,Denver International Airport ,Southwest Airlines  ,Property Damage,Checkpoint,Clothing,199.0,Approve in Full
1038,2014020611518,2014-02-04 00:00:00,2013-09-06 14:10:00,SAN,San Diego International,Volaris Airlines,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
1039,2014020611519,2014-02-06 00:00:00,2014-02-06 00:00:00,-,-,-,Passenger Property Loss,Checked Baggage,Food & Drink,0.0,-
1040,2014020611520,2014-01-31 00:00:00,2014-01-16 06:50:00,DEN,Denver International Airport ,Frontier Airlines,Passenger Property Loss,Checkpoint,Other,0.0,Deny
1041,2014020611521,2014-01-31 00:00:00,2014-01-13 00:00:00,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,32.09,Approve in Full
1042,2014020611522,2014-02-04 00:00:00,2014-01-16 06:30:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Toys & Games,0.0,-
1043,2014020611523,2014-02-03 00:00:00,2013-08-27 15:00:00,JNU,Juneau International,Alaska Airlines  ,Property Damage,Checkpoint,Other,440.0,Approve in Full
1044,2014020611524,2014-02-03 00:00:00,2013-09-18 00:00:00,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,Cameras,981.3,Approve in Full
1045,2014020611525,2014-01-31 00:00:00,2013-12-15 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,129.26,Settle
1046,2014020611526,2014-02-06 00:00:00,2013-12-23 00:00:00,BOS,Boston (Logan) International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,Deny
1047,2014020611527,2014-01-30 00:00:00,2014-01-11 00:00:00,MSY,New Orleans International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,129.0,Approve in Full
1048,2014020611528,2014-02-03 00:00:00,2013-12-07 00:00:00,LGA,LaGuardia ,USAir  ,Property Damage,Checked Baggage,Computer & Accessories,0.0,-
1049,2014020611529,2014-01-31 00:00:00,2013-11-27 00:00:00,CLT,Charlotte/Douglas International Airport,USAir  ,Property Damage,Checked Baggage,Toys & Games,437.0,Settle
1050,2014020611530,2014-02-04 00:00:00,2014-01-25 14:00:00,RSW,Southwest Florida International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,48.0,Approve in Full
1051,2014020711531,2014-02-04 00:00:00,2014-01-29 09:30:00,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checkpoint,Computer & Accessories,0.0,-
1052,2014020711532,2014-02-04 00:00:00,2014-01-10 00:00:00,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches; Other,0.0,Deny
1053,2014020711533,2014-02-06 00:00:00,2013-12-19 18:00:00,IAD,Washington Dulles International,-,Personal Injury,Checked Baggage,-,0.0,-
1054,2014020711534,2014-02-06 00:00:00,2014-01-15 11:03:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
1055,2014020711535,2014-02-04 00:00:00,2014-01-20 04:32:00,BOS,Boston (Logan) International Airport ,-,Property Damage,Checkpoint,Personal Electronics,79.99,Approve in Full
1056,2014020711536,2014-02-06 00:00:00,2014-02-02 08:00:00,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
1057,2014020711537,2014-02-03 00:00:00,2013-12-18 11:00:00,DTW,Detroit Metropolitan Wayne County Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
1058,2014020711538,2014-02-07 00:00:00,2014-01-27 00:00:00,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
1059,2014020711539,2014-02-03 00:00:00,2014-01-12 00:00:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,-
1060,2014020711540,2014-02-06 00:00:00,2013-12-23 07:30:00,CLE,Cleveland Hopkins International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses; Clothing,0.0,Deny
1061,2014020711541,2014-02-06 00:00:00,2014-01-27 05:45:00,HNL,Honolulu International Airport,-,Property Damage,Checkpoint,Personal Accessories,149.96,Approve in Full
1062,2014020711542,2014-02-06 00:00:00,2014-01-04 07:40:00,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checkpoint,Clothing,88.0,Approve in Full
1063,2014020711543,2014-02-04 00:00:00,2014-01-17 13:00:00,MSO,Missoula International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,0.0,Deny
1064,2014020711544,2014-02-06 00:00:00,2014-01-29 13:45:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,0.0,-
1065,2014020711545,2014-02-07 00:00:00,2014-02-07 00:00:00,AUS,Austin-Bergstrom International Airport,-,Passenger Property Loss,Checked Baggage,Travel Accessories,0.0,-
1066,2014020711546,2014-02-06 00:00:00,2014-01-26 19:00:00,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checkpoint,Computer & Accessories,219.54,Settle
1067,2014020711547,2014-02-03 00:00:00,2014-01-13 06:00:00,EWN,Craven County Regional,Delta Air Lines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,276.41,Approve in Full
1068,2014020711548,2014-02-06 00:00:00,2014-01-27 07:00:00,OAK,Metropolitan Oakland International,Jet Blue,Passenger Property Loss,Checked Baggage,Personal Electronics; Personal Electronics,0.0,Deny
1069,2014020711549,2014-02-06 00:00:00,2014-01-26 12:00:00,RDU,Raleigh-Durham International,Southwest Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,0.0,Deny
1070,2014020711550,2014-02-06 00:00:00,2014-01-23 10:00:00,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,-
1071,2014020711551,2014-02-06 00:00:00,2014-02-03 13:45:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
1072,2014020711552,2014-02-03 00:00:00,2013-12-29 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
1073,2014020711553,2014-02-06 00:00:00,2014-01-07 00:00:00,LAX,Los Angeles International Airport ,Asiana Airlines,Passenger Property Loss,Checked Baggage,Clothing; Personal Electronics,0.0,Deny
1074,2014020711554,2014-02-07 00:00:00,2013-11-11 11:00:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,Travel Accessories,0.0,Deny
1075,2014020711555,2014-02-06 00:00:00,2014-01-22 20:45:00,SAT,San Antonio International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
1076,2014020711556,2014-02-04 00:00:00,2014-01-18 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Accessories,0.0,Deny
1077,2014020711557,2014-02-06 00:00:00,2013-12-25 08:00:00,SMF,Sacramento International Airport,Hawaiian Airlines  ,Property Damage,Checkpoint,Computer & Accessories,0.0,Deny
1078,2014020711558,2014-02-03 00:00:00,2014-01-03 10:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Korean Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.0,Deny
1079,2014020711559,2014-02-04 00:00:00,2014-01-23 15:30:00,DFW,Dallas-Fort Worth International Airport ,British Airways  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,113.71,Approve in Full
1080,2014020711562,2014-02-04 00:00:00,2014-01-10 00:00:00,JFK,John F. Kennedy International,Emirates,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,Deny
1081,2014020711563,2014-02-04 00:00:00,2013-12-31 08:30:00,SDF,Louisville International,USAir  ,Property Damage,Checkpoint,Personal Electronics,263.94,Approve in Full
1082,2014020711564,2014-02-04 00:00:00,2014-01-18 12:45:00,RDU,Raleigh-Durham International,Delta Air Lines  ,Property Damage,Checked Baggage,Computer & Accessories,274.99,Settle
1083,2014020711565,2014-02-06 00:00:00,2014-01-15 00:00:00,SNA,John Wayne,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories,0.0,Deny
1084,2014020711567,2014-02-06 00:00:00,2014-01-31 06:30:00,FLL,Ft. Lauderdale-Hollywood International,UAL  ,Passenger Property Loss,Checked Baggage,Other,71.01,Approve in Full
1085,2014020711568,2014-02-03 00:00:00,2013-06-19 00:00:00,OAK,Metropolitan Oakland International,Sata,Passenger Property Loss,Checked Baggage,Travel Accessories,25.0,Approve in Full
1086,2014020711569,2014-02-03 00:00:00,2014-01-18 00:00:00,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,31.98,Approve in Full
1087,2014020711570,2014-02-03 00:00:00,2013-12-17 00:00:00,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Personal Accessories,91.5,Settle
1088,2014020711571,2014-02-03 00:00:00,2014-01-06 07:30:00,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Audio/Video,100.0,Approve in Full
1089,2014020711572,2014-02-03 00:00:00,2013-10-14 00:00:00,MCO,Orlando International Airport,Allegiant Air,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
1090,2014020711573,2014-02-06 00:00:00,2014-02-01 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,30.0,Approve in Full
1091,2014021011574,2014-02-06 00:00:00,2014-01-14 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Property Damage,Checkpoint,Computer & Accessories,1227.75,Settle
1092,2014021011575,2014-02-06 00:00:00,2014-02-02 09:00:00,HNL,Honolulu International Airport,Hawaiian Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,71.97,Settle
1093,2014021011576,2014-02-06 00:00:00,2014-01-26 00:00:00,SAN,San Diego International,Delta Air Lines  ,Property Damage,Checked Baggage,Other,35.0,Approve in Full
1094,2014021011577,2014-02-06 00:00:00,2014-01-29 14:40:00,BUF,Buffalo Niagara International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Currency,0.0,Deny
1095,2014021011578,2014-02-06 00:00:00,2014-01-30 10:30:00,DEN,Denver International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,206.84,Approve in Full
1096,2014021011579,2014-02-06 00:00:00,2014-01-14 14:50:00,PHL,Philadelphia International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0.0,Deny
1097,2014021011580,2014-02-06 00:00:00,2013-12-01 00:00:00,SJU,Luis Munoz Marin International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,0.0,-
1098,2014021011581,2014-02-06 00:00:00,2014-01-03 13:30:00,OAK,Metropolitan Oakland International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink,0.0,Deny
1099,2014021011582,2014-02-06 00:00:00,2014-01-25 00:00:00,PSC,Tri-Cities,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Currency; Medical/Science,0.0,Deny
1100,2014021011583,2014-02-06 00:00:00,2014-02-02 00:00:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,-
1101,2014021011584,2014-02-06 00:00:00,2013-12-20 05:15:00,DSM,Des Moines International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,0.0,Deny
1102,2014021011585,2014-02-06 00:00:00,2014-02-04 12:39:00,SJU,Luis Munoz Marin International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,0.0,Deny
1103,2014021011586,2014-02-10 00:00:00,2014-02-07 11:00:00,MLU,Monroe Regional,Delta Air Lines  ,Property Damage,Checkpoint,Personal Electronics,179.4,Settle
1104,2014021011587,2014-02-07 00:00:00,2014-02-02 05:00:00,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,225.0,Settle
1105,2014021011588,2014-02-07 00:00:00,2014-02-04 17:00:00,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Cameras,435.46,Settle
1106,2014021011589,2014-02-07 00:00:00,2014-02-02 00:00:00,HOU,William P. Hobby,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0.0,Deny
1107,2014021011590,2014-02-07 00:00:00,2014-01-23 16:00:00,JFK,John F. Kennedy International,China Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,Deny
1108,2014021011591,2014-02-07 00:00:00,2014-01-26 08:30:00,SAT,San Antonio International,Delta Air Lines  ,Property Damage,Checked Baggage,Clothing,171.36,Approve in Full
1109,2014021011592,2014-02-07 00:00:00,2013-11-10 17:00:00,ORD,Chicago O'Hare International Airport,USAir  ,Passenger Property Loss,Checkpoint,Currency,439.0,Approve in Full
1110,2014021011593,2014-02-06 00:00:00,2014-02-03 16:20:00,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Clothing,0.0,Deny
1111,2014021011594,2014-02-06 00:00:00,2014-01-11 13:30:00,GEG,Spokane International,-,Property Damage,Checkpoint,Personal Accessories,259.8,Approve in Full
1112,2014021011595,2014-02-07 00:00:00,2014-02-01 09:00:00,CLE,Cleveland Hopkins International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,39.0,Approve in Full
1113,2014021111596,2014-02-07 00:00:00,2014-01-24 08:30:00,HNL,Honolulu International Airport,UAL  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,371.0,Settle
1114,2014021111597,2014-02-07 00:00:00,2014-01-25 00:00:00,PBI,Palm Beach International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing; Personal Accessories,0.0,Deny
1115,2014021111598,2014-02-07 00:00:00,2014-01-15 14:00:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,-,0.0,Deny
1116,2014021111599,2014-02-07 00:00:00,2014-01-07 12:45:00,SFB,Orlando Sanford,Allegiant Air,Property Damage,Checked Baggage,Cosmetics & Grooming,0.0,-
1117,2014021111600,2014-02-07 00:00:00,2014-02-02 00:00:00,GRI,Central Nebraska Regional,Allegiant Air,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
1118,2014021111601,2014-02-10 00:00:00,2013-03-20 08:08:00,ZZZ,Unspecified Personal Injury,-,Personal Injury,Motor Vehicle,-,0.0,-
1119,2014021111602,2014-02-07 00:00:00,2014-01-23 05:30:00,IAH,Houston - George Bush Intercontinental Airport,-,Passenger Property Loss,Checked Baggage,Clothing,0.0,-
1120,2014021111603,2014-02-04 00:00:00,2013-12-18 00:00:00,RIC,Richmond International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Currency,0.0,Deny
1121,2014021111604,2014-02-10 00:00:00,2013-03-20 08:08:00,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,0.0,-
1122,2014021111605,2014-02-07 00:00:00,2014-01-30 13:00:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,0.0,-
